Fecha,Tipo de Cambio
01/01/2023,677.0817
01/02/2023,662.796
01/03/2023,654.3056
01/04/2023,643.1451
01/05/2023,631.7286
01/06/2023,614.8404
01/07/2023,602.4568
01/08/2023,603.2141
01/09/2023,613.0484
01/10/2023,641.179
01/11/2023,620.5539
01/12/2023,612.4333
